manufacturer,icao_code,model,physical_class,number_of_engines,weight
Acro Sport,SACE,Super Ace,Piston,1,0.46719976
Acro Sport,JACE,Junior Ace,Piston,1,0.5556502
Acro Sport,COUG,Cougar,Piston,1,0.56699
Acro Sport,ACRO,Acro Sport,Piston,1,0.6123492
Acro Sport,ACRO,Super Acro Sport,Piston,1,0.6123492
Acro Sport,ACR2,Acro Sport II,Piston,1,0.68945984
Adam Aircraft Industries,A500,A-500,Piston,2,3.175144
Adam Aircraft Industries,A700,A-700 AdamJet,Jet,2,3.4472992
Aeritalia,G222,G222,Turboprop,2,28.00023416
Aermacchi / Macchi,M308,MB-308,Piston,1,0.649997336
Aermacchi / Macchi,F260,SIAI-Marchetti SF.260 (now Leonardo SF-260),Piston,1,1.299994672
Aermacchi / Macchi,AM3,AM-3CM Bosbok,Piston,1,1.700062816
Aermacchi / Macchi,LA60,AL-60-B2,Piston,1,1.745875608
Aermacchi / Macchi,L90,M-290 TP Redigo,Turboprop,1,1.90055048
Aermacchi / Macchi,M326,MB-326,Jet,1,3.7648136
Aermacchi / Macchi,M339,MB-339,Jet,1,5.896696
Aermacchi / Macchi,M346,M-346 Master,Jet,1,9.50048444
Aero Boero,AB95,AB-95,Piston,1,0.699892456
Aero Boero,AB11,AB-115 BS,Piston,1,0.769745624
Aero Boero,AB18,AB-180 RVR,Piston,1,0.889947504
Aero Boero,AB15,AB-150 Ag,Piston,1,1.001077544
Aero Commander Aircraft,CLB1,A-9 Quail Commander (A9B-M),Piston,1,1.7236496
Aero Commander Aircraft,AC52,520 Twin Commander,Piston,2,2.5854744
Aero Commander Aircraft,AC50,500 Commander,Piston,2,2.721552
Aero Commander Aircraft,AC56,560 and 560-A Twin Commander,Piston,2,2.721552
Aero Commander Aircraft,AC50,500-A Commander,Piston,2,2.83495
Aero Commander Aircraft,AC56,560-E Commander,Piston,2,2.948348
Aero Commander Aircraft,AC50,500-B Commander,Piston,2,3.061746
Aero Commander Aircraft,AC50,500U/500S Shrike Commander,Piston,2,3.061746
Aero Commander Aircraft,AC68,680 Commander,Piston,2,3.175144
Aero Commander Aircraft,AC56,560-F Commander,Piston,2,3.40194
