name,latitude,longitude
AKUMU,-1.008136111,34.02655
ALSAR,-1.451227778,30.74451389
AMSAD,-6.221833333,43.99350833
AMVUN,-6.444688889,39.74099167
ANTIM,-4.601577778,36.12977778
ANVOX,-2.734380556,36.161825
ANVUN,-6.444688889,39.74099167
APDIK,-2.470275,36.67548611
APDOT,-1.537052778,34.56711111
APGEN,-8.189483333,40.83945
APKOL,-9.487747222,33.31208889
APLOG,-1.501763889,34.92105556
APMIT,-3.225605556,36.48059167
APNAD,-1,32.55595
APNOM,-4.14377,39.527728
ATUNU,-5.396755556,35.92058889
ATUPA,-2.651486111,32.30751389
AVEKI,-6.257547222,39.622425
AVIGO,-5.57015,40.91264167
AVIRI,-6.678525,32.08691944
AVITA,-6.0311,37.75496944
AVUNO,-3.532980556,37.75085833
BILAK,-9.132163889,32.38860278
BONAP,-11.63527778,37.65751944
BOSAD,-1.9073,30.82035
BOTEN,-8.479722222,38.68194444
CVOR  BJA,-3.346338889,29.322025
DARAS,-7.933147222,40.50392778
DASTA,-8.717797222,41.49284167
DATAN,-2.098672222,30.89618611
DUDGA,-1.0025,32.38833333
DUNDO,-4.867325,38.79855833
DUSKA,-10.63,40.2167
DVOR KNM,-1.968563889,30.14755833
DVOR MV,-2.443002778,32.93390278
EGLOX,-1.856469444,34.99545556
EGPET,-5.877325,39.39450833
EGSEM,-6.445141667,42.45731944
EGSIX,-4.526061111,35.27615278
EGVOM,-3.778434,39.622401
ELAVA,-5.118969444,40.38426944
EPMAB,-8.5906,35.14136389
EPMIN,-4.762697222,33.85525833
EPTAN,-2.798619444,36.26014722
EPTEL,-4.041744444,38.29333333
EPTIK,-4.611202778,35.44690278
ERDEN,-8.5555,39.21400556
ESRES,-8.21435,30.679125
ETIVO,-5.857752778,37.874
ETLEK,-4.268416667,32.222625
ETMIS,-7.811372222,40.5934375
ETMOV,-3.195880556,36.1144
ETUXI,-5.088133333,34.92196944
EVATO,-2.33585,36.45082222
EXELU,-2.951019444,36.55421944
GABSO,-2.852480556,37.56751667
GADLA,-3.733761,38.610796
GAVDA,-2.7867,29.6603
GEREN,-5.064797222,38.46109722
GETAB,-2.979966667,30.79374722
HTAG,-6.957292,39.505588
HTAR,-3.367789984,36.63330078
HTBB,-7.748241,38.001833
HTBS,-11.331675,37.067816
HTBU,-1.332,31.8212
HTCH,-8.558318,33.436368
HTDA,-6.87811,39.202599
HTDO,-6.170440197,35.75260162
HTEN,-3.194243,35.26315
HTGW,-8.919942,33.273981
HTIR,-7.668630123,35.7521019
HTIY,-6.719232,32.062657
HTKA,-4.8862,29.6709
HTKB,-3.525979996,30.65040016
HTKD,-4.893710136,35.7682991
HTKI,-8.91123,39.508619
HTKJ,-3.42941,37.074501
HTKL,-4.312575,34.346453
HTKO,-6.150000095,36.41699982
HTKS,-6.864605,37.00845
HTKT,-5.831378,34.966387
HTLD,-2.069689989,35.54570007
HTLI,-9.85111,39.757801
HTLL,-11.11639977,34.65219879
HTLM,-3.37631011,35.81829834
HTMA,-7.917478,39.668502
HTMB,-8.919444,33.463889
HTMD,-3.521332,33.615542
HTMF,-8.732040405,35.30260086
HTMG,-6.79722023,37.65309906
HTMI,-10.7329998,38.76699829
HTMK,-7.333427906,37.11635971
HTML,-6.012913,29.766937
HTMO,-4.882999897,38.28300095
HTMP,-6.355374,31.084116
HTMS,-3.363329887,37.32690048
HTMT,-10.33909988,40.18180084
HTMU,-1.503,33.8021
HTMW,-2.444489956,32.93270111
HTMX,-6.349999905,36.48300171
HTNA,-10.35750008,38.77920151
HTNG,-6.717083,38.153944
HTNJ,-9.350000381,34.79999924
HTNR,-2.541790009,30.7031002
HTOL,-4.287732,36.616115
HTPE,-5.257259846,39.81140137
